"","Comparison","p.Fisher","p.adj.Fisher","p.Chisq","p.adj.Chisq","species"
"81","ATLANTIC : CERRADO",1,1,NA,NA,"streptococcusAlphaHemo"
"82","PANTANAL : ATLANTIC",1,1,0.828,1,"rodNegGramNoFermPositivOxi"
"83","PANTANAL : CERRADO",0.229,0.687,0.442,0.884,"rodNegGramNoFermPositivOxi"
"84","ATLANTIC : CERRADO",1,1,NA,NA,"rodNegGramNoFermPositivOxi"
"85","PANTANAL : CERRADO",0.218,0.654,0.259,0.777,"enterococcusSp"
"86","PANTANAL : ATLANTIC",1,1,1,1,"enterococcusSp"
"87","CERRADO : ATLANTIC",0.328,0.984,0.32,0.96,"enterococcusSp"
"88","PANTANAL : ATLANTIC",1,1,0.828,1,"streptococcusBetaHemo"
"89","PANTANAL : CERRADO",0.229,0.687,0.442,0.884,"streptococcusBetaHemo"
"90","ATLANTIC : CERRADO",1,1,NA,NA,"streptococcusBetaHemo"
"91","PANTANAL : ATLANTIC",1,1,0.828,1,"streptococcusAgalactiaeB"
"92","PANTANAL : CERRADO",0.229,0.687,0.442,0.884,"streptococcusAgalactiaeB"
"93","ATLANTIC : CERRADO",1,1,NA,NA,"streptococcusAgalactiaeB"
"94","PANTANAL : ATLANTIC",1,1,1,1,"acinetobacterBaumanii"
"95","PANTANAL : CERRADO",0.479,1,0.966,1,"acinetobacterBaumanii"
"96","ATLANTIC : CERRADO",1,1,NA,NA,"acinetobacterBaumanii"
"97","PANTANAL : CERRADO",1,1,1,1,"stenotrophomonasMaltophilia"
"98","PANTANAL : ATLANTIC",1,1,1,1,"stenotrophomonasMaltophilia"
"99","CERRADO : ATLANTIC",1,1,1,1,"stenotrophomonasMaltophilia"
"100","CERRADO : ATLANTIC",0.112,0.336,0.134,0.268,"streptococcusBetaHemolytic"
"101","CERRADO : PANTANAL",0.00774,0.0232,0.0174,0.0348,"streptococcusBetaHemolytic"
"102","ATLANTIC : PANTANAL",1,1,NA,NA,"streptococcusBetaHemolytic"
"103","CERRADO : ATLANTIC",1,1,0.87,1,"acinetobacterIwoffii"
"104","CERRADO : PANTANAL",0.5,1,0.516,1,"acinetobacterIwoffii"
"105","ATLANTIC : PANTANAL",1,1,NA,NA,"acinetobacterIwoffii"
"106","CERRADO : ATLANTIC",1,1,1,1,"enterococcusFaecalis"
"107","CERRADO : PANTANAL",1,1,1,1,"enterococcusFaecalis"
"108","ATLANTIC : PANTANAL",1,1,NA,NA,"enterococcusFaecalis"
"109","CERRADO : ATLANTIC",1,1,1,1,"morganellaMorganii"
"110","CERRADO : PANTANAL",1,1,1,1,"morganellaMorganii"
"111","ATLANTIC : PANTANAL",1,1,NA,NA,"morganellaMorganii"
"112","CERRADO : ATLANTIC",0.556,1,0.606,1,"streptococcusAgalactiae"
"113","CERRADO : PANTANAL",0.25,0.75,0.278,0.556,"streptococcusAgalactiae"
"114","ATLANTIC : PANTANAL",1,1,NA,NA,"streptococcusAgalactiae"
"115","CERRADO : ATLANTIC",1,1,1,1,"burkholderiaCepacia"
"116","CERRADO : PANTANAL",1,1,1,1,"burkholderiaCepacia"
"117","ATLANTIC : PANTANAL",1,1,NA,NA,"burkholderiaCepacia"
"118","CERRADO : ATLANTIC",1,1,1,1,"pseudomonasAerugisa"
"119","CERRADO : PANTANAL",1,1,1,1,"pseudomonasAerugisa"
"120","ATLANTIC : PANTANAL",1,1,NA,NA,"pseudomonasAerugisa"
"121","CERRADO : ATLANTIC",1,1,1,1,"streptococcusViridans"
"122","CERRADO : PANTANAL",1,1,1,1,"streptococcusViridans"
"123","ATLANTIC : PANTANAL",1,1,NA,NA,"streptococcusViridans"
